Tick,Total Creatures,Speed_SS,Speed_Ss,Speed_ss,Vision_VV,Vision_Vv,Vision_vv,Beauty_AA,Beauty_Aa,Beauty_aa,Violence_KK,Violence_Kk,Violence_kk
5380,168,88,58,22,9,59,100,69,66,33,2,28,138
5400,160,89,51,20,10,56,94,61,67,32,2,26,132
5420,163,91,52,20,13,57,93,58,72,33,2,28,133
5440,160,94,47,19,13,53,94,56,72,32,2,23,135
5460,165,92,52,21,13,52,100,56,76,33,2,21,142
5480,167,87,54,26,13,51,103,58,73,36,2,24,141
5500,167,87,55,25,13,52,102,51,78,38,2,25,140
5520,170,83,56,31,13,48,109,53,77,40,2,25,143
5540,171,85,58,28,15,52,104,54,79,38,2,23,146
5560,171,79,64,28,15,53,103,52,83,36,2,21,148
5580,177,81,66,30,15,59,103,56,81,40,2,22,153
5600,171,80,63,28,15,57,99,54,79,38,2,22,147
5620,169,78,66,25,14,56,99,49,83,37,2,23,144
5640,160,71,63,26,13,59,88,44,79,37,2,20,138
5660,163,73,62,28,14,57,92,46,79,38,2,19,142
5680,155,73,55,27,14,54,87,45,77,33,2,18,135
5700,152,75,53,24,12,54,86,44,76,32,3,16,133
5720,154,80,53,21,12,52,90,50,73,31,2,15,137
5740,160,83,57,20,10,54,96,55,73,32,2,16,142
5760,170,94,57,19,10,58,102,61,74,35,2,18,150
5780,182,95,66,21,13,63,106,65,81,36,1,19,162
5800,180,95,65,20,16,65,99,65,81,34,1,21,158
5820,186,99,65,22,17,67,102,65,82,39,1,21,164
5840,187,104,63,20,16,72,99,65,86,36,1,21,165
5860,176,98,60,18,17,69,90,60,82,34,1,19,156
5880,169,95,59,15,16,67,86,56,83,30,1,21,147
5900,159,91,53,15,17,64,78,54,76,29,1,17,141
5920,170,94,60,16,18,69,83,53,78,39,1,16,153
5940,173,96,62,15,23,70,80,52,77,44,1,15,157
5960,184,104,65,15,22,72,90,58,83,43,1,17,166
5980,198,108,73,17,22,75,101,59,91,48,1,18,179
6000,209,116,76,17,22,77,110,66,92,51,1,18,190
6020,210,115,76,19,22,78,110,64,95,51,1,17,192
6040,204,109,77,18,21,75,108,64,91,49,0,19,185
6060,207,110,78,19,21,76,110,68,90,49,0,19,188
6080,207,111,77,19,20,82,105,66,92,49,0,20,187
6100,207,104,83,20,18,80,109,69,92,46,0,20,187
6120,214,107,87,20,18,82,114,73,94,47,0,21,193
6140,216,109,87,20,18,80,118,75,93,48,0,21,195
6160,208,108,81,19,16,76,116,77,86,45,0,20,188
6180,207,108,80,19,19,76,112,76,85,46,0,20,187
6200,201,110,71,20,20,71,110,76,82,43,0,21,180
6220,195,107,70,18,19,69,107,81,75,39,0,21,174
6240,199,109,71,19,18,77,104,85,76,38,0,21,178
6260,203,110,72,21,22,76,105,85,77,41,0,17,186
6280,190,101,66,23,20,72,98,80,72,38,0,20,170
6300,186,100,65,21,18,71,97,79,72,35,1,19,166
6320,179,93,67,19,17,71,91,76,70,33,1,21,157
6340,177,94,67,16,14,68,95,77,67,33,1,20,156
6360,177,96,65,16,17,69,91,72,68,37,1,21,155
6380,177,96,65,16,18,73,86,70,67,40,1,21,155
6400,187,97,67,23,23,73,91,70,73,44,1,21,165
6420,191,100,70,21,23,73,95,71,71,49,1,22,168
6440,190,100,69,21,24,72,94,73,71,46,1,19,170
6460,188,98,68,22,26,72,90,65,75,48,2,22,164
6480,189,94,72,23,27,72,90,61,77,51,2,20,167
6500,191,92,74,25,25,72,94,62,75,54,2,18,171
6520,186,91,71,24,21,72,93,59,77,50,2,18,166
6540,193,92,69,32,22,76,95,61,84,48,2,17,174
6560,190,92,64,34,21,75,94,62,79,49,2,18,170
6580,189,91,64,34,22,72,95,59,81,49,2,19,168
6600,187,90,64,33,22,69,96,58,83,46,2,19,166
6620,181,84,66,31,20,67,94,57,79,45,3,20,158
6640,185,89,65,31,20,70,95,58,80,47,3,21,161
6660,188,91,67,30,23,65,100,57,80,51,3,20,165
6680,195,99,67,29,24,66,105,60,78,57,3,20,172
6700,200,103,67,30,23,69,108,59,74,67,3,23,174
6720,193,95,68,30,23,65,105,55,71,67,3,22,168
6740,187,90,67,30,22,63,102,49,72,66,3,22,162
6760,198,97,72,29,22,65,111,48,82,68,3,24,171
6780,188,89,70,29,19,64,105,43,75,70,3,21,164
6800,180,85,68,27,17,61,102,42,68,70,3,20,157
6820,177,79,69,29,13,58,106,40,67,70,3,21,153
6840,166,77,63,26,11,55,100,43,60,63,2,22,142
6860,162,76,62,24,10,55,97,45,56,61,2,21,139
6880,170,75,73,22,10,61,99,45,65,60,2,21,147
6900,174,73,76,25,9,62,103,44,70,60,2,20,152
6920,181,75,81,25,6,64,111,46,75,60,2,21,158
6940,184,79,80,25,5,65,114,47,81,56,2,23,159
6960,184,82,77,25,7,66,111,49,79,56,2,21,161
6980,187,81,76,30,9,65,113,50,80,57,2,20,165
7000,181,78,73,30,9,61,111,49,74,58,2,18,161
7020,189,79,76,34,11,63,115,50,81,58,2,18,169
7040,181,75,77,29,10,62,109,47,77,57,2,17,162
7060,190,78,84,28,10,61,119,55,77,58,2,19,169
7080,190,76,87,27,13,59,118,59,76,55,2,21,167
7100,190,79,82,29,12,59,119,55,79,56,2,22,166
7120,191,79,82,30,11,60,120,54,83,54,2,19,170
7140,184,78,75,31,11,55,118,50,82,52,1,18,165
7160,182,77,73,32,12,55,115,49,83,50,1,20,161
7180,184,80,72,32,11,53,120,52,83,49,1,22,161
7200,186,81,70,35,9,50,127,52,82,52,1,20,165
7220,187,82,69,36,11,48,128,53,80,54,0,21,166
7240,185,80,66,39,12,48,125,52,77,56,0,21,164
7260,183,76,68,39,11,49,123,51,73,59,0,21,162
7280,185,75,67,43,10,51,124,51,75,59,0,20,165
7300,182,71,69,42,10,55,117,45,78,59,0,22,160
7320,182,69,71,42,10,55,117,43,83,56,0,21,161
7340,187,68,75,44,9,59,119,45,83,59,0,23,164
7360,190,67,75,48,9,59,122,47,81,62,0,23,167
7380,196,70,75,51,11,58,127,48,84,64,0,23,173
7400,187,66,73,48,12,56,119,47,76,64,0,22,165
7420,190,69,73,48,11,59,120,49,79,62,0,21,169
7440,188,66,80,42,11,60,117,46,78,64,0,22,166
7460,189,63,81,45,8,64,117,48,82,59,0,23,166
7480,183,61,80,42,8,64,111,47,78,58,0,22,161
7500,178,57,82,39,9,65,104,45,74,59,0,21,157
7520,174,56,79,39,8,62,104,43,76,55,0,21,153
7540,179,60,78,41,9,63,107,44,76,59,0,22,157
7560,179,64,74,41,9,62,108,45,74,60,0,24,155
7580,172,61,70,41,9,57,106,44,72,56,0,24,148
7600,171,58,68,45,8,55,108,45,67,59,0,22,149
7620,177,56,75,46,9,55,113,43,68,66,0,22,155
7640,174,56,71,47,10,55,109,41,66,67,0,23,151
7660,168,49,75,44,9,53,106,40,62,66,0,22,146
7680,179,52,74,53,9,57,113,39,68,72,0,24,155
7700,178,53,74,51,7,59,112,36,69,73,0,24,154
7720,175,54,72,49,11,56,108,36,63,76,0,23,152
7740,168,54,69,45,11,51,106,33,58,77,0,22,146
7760,164,49,70,45,9,48,107,33,62,69,0,24,140
7780,161,50,66,45,10,49,102,31,63,67,0,23,138
7800,166,51,69,46,10,50,106,28,67,71,0,21,145
7820,167,53,68,46,9,54,104,28,68,71,0,21,146
7840,159,51,63,45,9,53,97,27,66,66,0,23,136
7860,163,55,63,45,8,56,99,24,72,67,0,24,139
7880,159,59,59,41,7,54,98,25,72,62,0,25,134
7900,161,63,57,41,7,54,100,28,73,60,0,25,136
7920,165,64,58,43,5,55,105,29,76,60,0,24,141
7940,162,62,58,42,4,56,102,28,77,57,0,23,139
7960,164,60,59,45,3,58,103,29,76,59,0,22,142
7980,165,61,57,47,2,58,105,31,78,56,0,24,141
8000,178,61,64,53,2,63,113,33,86,59,0,28,150
8020,188,61,71,56,2,66,120,33,95,60,0,30,158
8040,184,58,67,59,2,65,117,35,88,61,0,30,154
8060,176,58,64,54,2,63,111,34,88,54,0,27,149
8080,171,59,64,48,3,59,109,35,81,55,0,26,145
8100,171,59,66,46,3,59,109,38,80,53,0,25,146
8120,173,57,67,49,3,57,113,34,83,56,0,26,147
8140,169,56,67,46,4,55,110,30,80,59,0,22,147
8160,176,61,68,47,8,56,112,31,80,65,0,24,152
8180,169,62,61,46,8,51,110,34,73,62,0,23,146
8200,171,65,61,45,8,51,112,36,77,58,0,21,150
8220,171,64,62,45,8,49,114,35,79,57,0,22,149
8260,176,60,65,51,8,46,122,39,77,60,0,24,152
8280,175,53,68,54,8,45,122,37,76,62,0,25,150
8300,182,52,76,54,8,49,125,40,76,66,1,27,154
8320,177,48,74,55,7,48,122,38,71,68,1,30,146
8340,176,51,72,53,7,51,118,40,70,66,1,32,143
8360,167,45,73,49,7,51,109,41,67,59,1,29,137
8380,160,41,72,47,6,50,104,35,66,59,0,30,130
8400,165,42,73,50,6,54,105,37,70,58,0,28,137
8420,160,41,74,45,5,50,105,32,68,60,0,27,133
8440,163,44,75,44,5,46,112,32,67,64,0,26,137
8460,169,48,74,47,5,46,118,31,67,71,0,29,140
8480,164,45,74,45,6,45,113,30,64,70,0,27,137
8500,176,45,86,45,6,49,121,32,73,71,0,33,143
8520,176,48,82,46,8,47,121,35,72,69,1,30,145
8540,175,49,84,42,7,46,122,34,71,70,1,30,144
8560,182,53,86,43,9,49,124,34,74,74,1,29,152
8580,182,51,86,45,7,47,128,34,77,71,1,28,153
8600,180,51,84,45,7,43,130,36,75,69,1,29,150
8620,187,53,89,45,8,43,136,40,75,72,1,33,153
8640,181,57,82,42,9,39,133,40,74,67,1,32,148
8660,169,56,76,37,9,36,124,37,68,64,1,30,138
8680,164,56,74,34,7,35,122,37,67,60,1,30,133
8700,158,51,73,34,7,28,123,38,64,56,0,28,130
8720,163,52,75,36,7,30,126,42,67,54,0,26,137
8740,160,47,73,40,7,27,126,41,64,55,0,25,135
8760,161,45,77,39,6,25,130,39,69,53,0,27,134
8780,154,44,73,37,5,25,124,39,64,51,0,26,128
8820,144,39,72,33,4,22,118,39,60,45,0,25,119
8840,152,43,73,36,4,21,127,43,64,45,0,25,127
8860,154,42,75,37,4,21,129,47,62,45,0,26,128
8880,153,44,73,36,4,23,126,46,62,45,0,26,127
8900,158,45,80,33,4,21,133,47,68,43,0,24,134
8920,157,47,76,34,4,21,132,47,66,44,0,26,131
8940,153,44,71,38,5,20,128,46,64,43,0,28,125
8960,150,42,68,40,3,20,127,47,63,40,1,24,125
8980,151,48,63,40,3,17,131,46,64,41,1,21,129
9000,152,48,61,43,3,19,130,43,65,44,1,19,132
9020,153,47,62,44,3,21,129,42,67,44,1,20,132
9040,157,52,59,46,4,21,132,46,68,43,1,18,138
9060,165,55,65,45,4,24,137,49,70,46,1,18,146
9080,170,58,65,47,6,25,139,46,74,50,1,20,149
9100,171,59,65,47,5,29,137,47,72,52,1,20,150
9120,170,57,66,47,5,30,135,44,73,53,1,21,148
9140,176,59,67,50,7,33,136,40,77,59,1,21,154
9160,176,56,71,49,6,36,134,44,75,57,1,23,152
9180,175,52,75,48,6,40,129,45,74,56,1,23,151
9200,176,50,77,49,7,42,127,45,72,59,1,25,150
