Tick,Total Creatures,Speed_SS,Speed_Ss,Speed_ss,Vision_VV,Vision_Vv,Vision_vv,Beauty_AA,Beauty_Aa,Beauty_aa,Violence_KK,Violence_Kk,Violence_kk
680,126,34,57,35,26,42,58,48,46,32,2,31,93
700,124,32,55,37,24,44,56,48,47,29,2,31,91
720,124,29,62,33,25,45,54,46,48,30,2,29,93
740,124,29,60,35,31,44,49,43,50,31,3,25,96
760,119,30,58,31,29,45,45,40,50,29,3,25,91
780,119,29,61,29,28,45,46,41,52,26,3,25,91
800,116,24,64,28,24,41,51,39,51,26,3,23,90
820,114,25,63,26,21,42,51,38,49,27,3,21,90
840,122,28,68,26,22,47,53,41,54,27,3,24,95
860,123,27,69,27,22,47,54,41,56,26,3,22,98
880,123,28,68,27,22,46,55,42,55,26,3,25,95
900,122,27,66,29,23,46,53,44,52,26,3,25,94
920,122,28,68,26,24,45,53,45,51,26,3,21,98
940,127,32,66,29,26,48,53,47,51,29,3,23,101
960,133,33,69,31,29,49,55,50,55,28,3,24,106
980,131,31,66,34,30,48,53,49,55,27,3,24,104
1000,154,40,74,40,35,52,67,64,58,32,3,28,123
1020,157,44,71,42,36,53,68,63,59,35,3,27,127
1040,155,47,66,42,34,56,65,63,58,34,3,26,126
1060,155,49,65,41,34,55,66,62,61,32,3,25,127
1080,154,47,63,44,30,58,66,65,56,33,3,25,126
1100,149,46,62,41,29,58,62,66,53,30,3,24,122
1120,144,45,60,39,26,56,62,63,52,29,2,23,119
1140,147,46,63,38,25,57,65,65,52,30,2,24,121
1160,147,46,65,36,24,58,65,65,53,29,1,24,122
1180,151,46,69,36,26,58,67,67,57,27,1,26,124
1200,148,43,72,33,26,55,67,66,56,26,1,25,122
1220,154,46,75,33,30,56,68,69,56,29,1,24,129
1240,150,45,73,32,28,56,66,66,54,30,1,21,128
1260,154,46,74,34,30,59,65,64,59,31,1,21,132
1280,157,47,73,37,31,58,68,67,58,32,1,20,136
1300,154,47,73,34,27,60,67,63,57,34,1,18,135
1320,157,46,78,33,28,63,66,66,56,35,1,20,136
1340,159,46,75,38,30,62,67,64,59,36,1,21,137
1360,158,43,73,42,30,64,64,62,62,34,1,22,135
1380,167,45,76,46,33,68,66,65,68,34,1,21,145
1400,159,47,68,44,30,67,62,63,65,31,1,21,137
1420,151,48,65,38,29,66,56,60,58,33,0,23,128
1440,153,47,67,39,31,68,54,60,59,34,0,22,131
1460,154,44,66,44,32,67,55,60,62,32,0,23,131
1480,154,46,66,42,30,68,56,57,64,33,0,22,132
1500,158,51,64,43,28,70,60,58,64,36,0,22,136
1520,158,51,64,43,31,70,57,63,61,34,0,22,136
1540,163,51,73,39,30,75,58,66,65,32,0,21,142
1560,159,46,78,35,32,68,59,66,64,29,0,21,138
1580,160,47,79,34,29,68,63,67,63,30,0,19,141
1600,172,50,84,38,31,75,66,77,63,32,0,20,152
1620,173,53,84,36,30,76,67,82,59,32,0,21,152
1640,172,50,85,37,28,76,68,81,60,31,0,19,153
1660,178,52,89,37,28,77,73,82,62,34,0,20,158
1680,181,53,88,40,28,78,75,81,66,34,0,20,161
1700,180,54,87,39,29,75,76,79,68,33,0,24,156
1720,177,55,86,36,28,75,74,77,68,32,0,24,153
1740,178,53,88,37,30,74,74,79,68,31,1,21,156
1760,168,45,90,33,28,67,73,73,68,27,1,21,146
1780,168,42,88,38,25,72,71,71,68,29,1,19,148
1800,163,40,86,37,27,68,68,69,64,30,1,17,145
1820,171,41,89,41,30,72,69,71,68,32,1,18,152
1840,170,45,86,39,30,69,71,71,67,32,1,19,150
1860,172,44,85,43,31,68,73,71,67,34,1,19,152
1880,170,44,84,42,31,66,73,70,67,33,1,18,151
1900,169,42,87,40,34,63,72,72,68,29,1,16,152
1920,173,48,83,42,28,65,80,71,69,33,1,18,154
1940,176,51,81,44,30,66,80,69,71,36,1,20,155
1960,182,57,83,42,37,65,80,75,75,32,1,22,159
1980,175,56,79,40,34,65,76,70,75,30,2,24,149
2000,171,55,78,38,37,62,72,68,74,29,2,23,146
2020,171,55,77,39,37,58,76,67,74,30,2,24,145
2040,168,57,74,37,38,57,73,64,74,30,1,25,142
2060,174,59,77,38,40,59,75,63,81,30,1,25,148
2080,169,59,75,35,40,58,71,65,76,28,1,22,146
2100,171,63,73,35,39,61,71,69,75,27,1,23,147
2120,178,63,80,35,39,68,71,70,78,30,1,26,151
2140,176,60,82,34,39,70,67,69,79,28,1,25,150
2160,173,57,77,39,38,65,70,65,79,29,1,26,146
2180,174,53,80,41,35,68,71,68,77,29,1,27,146
2200,178,54,84,40,35,68,75,72,76,30,1,27,150
2220,171,52,81,38,30,67,74,72,71,28,0,29,142
2240,168,55,74,39,33,67,68,75,62,31,0,24,144
2260,163,54,70,39,33,65,65,72,60,31,0,25,138
2280,165,55,72,38,32,65,68,69,64,32,0,25,140
2300,162,51,72,39,31,62,69,63,65,34,0,25,137
2320,161,50,72,39,30,59,72,60,68,33,0,21,140
2340,171,57,71,43,29,64,78,61,74,36,0,21,150
2360,168,57,71,40,31,67,70,61,73,34,0,22,146
2380,164,54,71,39,32,63,69,55,74,35,0,22,142
2400,171,58,71,42,35,63,73,58,76,37,0,20,151
2420,178,58,77,43,33,62,83,60,81,37,0,21,157
2440,177,57,75,45,33,57,87,58,82,37,0,18,159
2460,176,54,76,46,32,58,86,53,86,37,0,17,159
2480,183,53,78,52,33,58,92,58,85,40,0,20,163
2500,181,54,72,55,33,60,88,59,85,37,0,21,160
2520,184,55,72,57,32,62,90,61,86,37,0,21,163
2540,195,60,74,61,33,67,95,65,91,39,1,24,170
2560,195,63,77,55,31,70,94,65,91,39,0,25,170
2580,187,61,73,53,30,70,87,61,85,41,0,23,164
2600,188,62,74,52,27,76,85,62,82,44,0,22,166
2620,191,65,71,55,28,77,86,61,83,47,0,23,168
2640,196,66,73,57,27,86,83,61,88,47,0,28,168
2660,190,65,75,50,23,84,83,57,88,45,0,30,160
2680,188,61,77,50,24,84,80,53,92,43,0,28,160
2700,186,58,76,52,23,84,79,53,92,41,0,29,157
2720,180,56,72,52,23,77,80,51,89,40,0,30,150
2740,189,63,74,52,23,75,91,56,91,42,0,31,158
2760,190,65,71,54,24,75,91,59,86,45,0,31,159
2780,182,60,70,52,24,71,87,56,84,42,0,27,155
2800,186,66,67,53,24,75,87,61,81,44,0,24,162
2820,182,63,68,51,25,68,89,60,77,45,0,22,160
2840,181,62,67,52,24,69,88,57,81,43,0,24,157
2860,179,60,68,51,23,66,90,57,77,45,0,24,155
2880,174,60,66,48,20,60,94,59,74,41,0,25,149
2900,170,56,65,49,20,60,90,54,76,40,0,24,146
2920,169,54,65,50,20,64,85,52,76,41,0,22,147
2940,166,56,65,45,19,63,84,51,75,40,0,20,146
2960,170,58,66,46,20,67,83,53,79,38,0,20,150
2980,170,58,67,45,20,70,80,55,76,39,0,21,149
3000,170,57,67,46,21,72,77,58,69,43,0,25,145
3020,166,54,68,44,20,70,76,57,68,41,0,25,141
3040,166,53,67,46,20,69,77,57,72,37,0,25,141
3060,167,51,68,48,20,71,76,58,71,38,0,26,141
3080,162,51,66,45,21,67,74,57,68,37,0,28,134
3100,158,56,64,38,19,64,75,57,68,33,0,27,131
3120,150,52,62,36,18,57,75,50,69,31,0,28,122
3140,155,52,66,37,18,58,79,49,72,34,0,29,126
3160,158,53,73,32,18,61,79,49,76,33,0,28,130
3180,157,52,72,33,17,58,82,46,74,37,0,27,130
3200,161,55,75,31,19,61,81,48,75,38,0,25,136
3220,161,56,75,30,21,61,79,50,73,38,0,24,137
3240,164,56,77,31,22,60,82,55,69,40,0,27,137
